品牌(中文),品牌(英文),品类,类别,,,,风格,,档次,
亨联达钟表,,珠宝首饰,手表,,,,,,,高档
卡地亚,,珠宝首饰,手表,,,,,,,奢侈
凯妮伊泰莲娜饰品店,,珠宝首饰,钻石,,,,,,,高档
六福珠宝,,珠宝首饰,婚戒,,,,,,,高档
蒙丹娜水晶饰品,,珠宝首饰,金银,,,,,,,高档
明牌首饰,,珠宝首饰,金银,,,,,,,高档
千禧之星,,珠宝首饰,金银,,,,,,,高档
时间廊,,珠宝首饰,手表,,,,,,,高档
谢瑞麟,,珠宝首饰,钻石,,,,,,,高档
玉隆轩,,珠宝首饰,玉石,,,,,,,高档
周大福,,珠宝首饰,婚戒,,,,,,,高档
周生生,,珠宝首饰,婚戒,,,,,,,高档
